,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.53,Ideal,D,VS,61.4,56.0,1857,5.2,5.23,3.2
1,0.7,Very Good,D,SI,63.4,58.0,2734,5.63,5.66,3.58
2,1.0,Premium,G,VS,62.0,62.0,6115,6.38,6.33,3.94
3,1.22,Premium,D,SI,61.8,58.0,5643,6.86,6.8,4.22
4,0.41,Very Good,E,VS,62.7,58.0,833,4.68,4.73,2.95
5,1.01,Good,E,SI,64.1,59.0,4399,6.31,6.35,4.06
6,0.41,Ideal,D,SI,60.8,57.0,791,4.8,4.84,2.93
7,0.81,Premium,H,SI,59.1,57.0,2585,6.16,6.09,3.62
8,0.51,Very Good,I,VS,62.5,59.0,1301,5.1,5.14,3.2
9,2.54,Very Good,I,SI,63.4,56.0,12095,8.68,8.64,5.49
10,0.34,Good,F,SI,63.9,56.0,417,4.4,4.43,2.82
11,0.55,Ideal,F,VS,61.2,56.0,2079,5.33,5.28,3.25
12,0.43,Ideal,G,VVS,61.5,56.0,1264,4.87,4.85,2.99
13,0.9,Good,H,VVS,63.8,59.0,4847,6.09,6.13,3.9
14,0.32,Ideal,G,VVS,62.1,55.0,730,4.35,4.38,2.71
15,1.2,Premium,J,VS,62.0,59.0,4704,6.77,6.72,4.18
16,1.32,Premium,H,VS,61.3,58.0,5958,7.09,7.01,4.32
17,0.57,Premium,J,VS,60.2,62.0,1176,5.4,5.33,3.23
18,0.31,Very Good,H,VS,62.4,58.0,544,4.28,4.34,2.69
19,1.0,Premium,F,VS,62.2,59.0,6328,6.37,6.29,3.94
20,2.11,Premium,G,SI,62.2,58.0,13598,8.19,8.23,5.11
21,0.42,Ideal,H,SI,61.7,55.0,885,4.84,4.85,2.99
22,0.41,Ideal,F,VS,60.8,56.0,1007,4.76,4.79,2.92
23,0.35,Ideal,F,VS,61.9,54.0,906,4.54,4.5,2.8
24,0.41,Premium,E,VS,59.8,61.0,1153,4.85,4.79,2.88
25,0.72,Very Good,F,VVS,59.2,63.0,3952,5.77,5.86,3.44
26,0.39,Premium,G,VS,62.4,56.0,1009,4.68,4.64,2.91
27,0.4,Ideal,D,VS,62.3,57.0,982,4.72,4.75,2.95
28,0.32,Premium,I,VVS,60.7,59.0,720,4.43,4.4,2.68
29,0.31,Ideal,E,SI,61.1,56.0,660,4.39,4.41,2.69
30,0.44,Very Good,G,SI,61.6,61.0,772,4.83,4.88,2.99
31,0.52,Premium,D,VS,62.4,58.0,1749,5.09,5.13,3.19
32,1.2,Premium,J,SI,58.5,61.0,4778,6.95,6.89,4.05
33,1.01,Good,H,VVS,63.3,57.0,5988,6.35,6.39,4.03
34,1.16,Ideal,H,SI,62.2,55.0,5554,6.79,6.74,4.21
35,0.38,Ideal,E,VVS,61.9,57.0,1100,4.63,4.65,2.87
36,1.15,Premium,G,VS,63.0,60.0,7032,6.68,6.6,4.18
37,0.28,Very Good,E,VVS,61.1,60.0,646,4.17,4.21,2.56
38,1.7,Ideal,J,SI,62.0,53.0,7464,7.68,7.65,4.75
39,1.31,Premium,H,VS,59.8,58.0,7732,7.19,7.09,4.27
40,2.05,Premium,F,SI,60.2,59.0,18784,8.28,8.33,5.0
41,0.74,Very Good,G,VS,60.9,59.0,3389,5.9,5.86,3.58
42,0.32,Very Good,I,SI,63.4,56.0,480,4.37,4.34,2.76
43,0.32,Premium,H,SI,61.3,60.0,449,4.36,4.42,2.69
44,1.05,Very Good,F,VS,62.0,56.0,6545,6.48,6.52,4.03
45,1.01,Good,E,VS,61.2,62.0,5972,6.34,6.38,3.89
46,1.0,Very Good,F,SI,61.1,61.0,4372,6.35,6.38,3.89
47,0.3,Very Good,G,VVS,63.2,57.0,878,4.27,4.24,2.69
48,0.5,Ideal,H,SI,61.3,54.0,1666,5.12,5.16,3.15
49,0.71,Ideal,G,VS,61.8,55.0,3431,5.71,5.76,3.55
50,1.02,Very Good,I,SI,63.4,57.0,3769,6.37,6.4,4.05
51,0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54
52,0.35,Premium,G,VVS,62.8,58.0,1024,4.48,4.44,2.8
53,0.36,Very Good,D,SI,63.0,59.0,501,4.49,4.52,2.84
54,1.7,Ideal,I,SI,62.9,57.0,9901,7.57,7.5,4.74
55,0.74,Good,H,VS,57.5,57.0,2369,5.94,6.01,3.44
56,0.4,Very Good,E,VS,63.8,55.0,791,4.66,4.71,2.99
57,0.26,Ideal,H,VVS,61.2,56.0,600,4.16,4.11,2.53
58,0.42,Ideal,D,VS,61.4,56.0,1031,4.8,4.84,2.96
59,0.91,Very Good,F,SI,60.4,59.0,4437,6.22,6.26,3.77
60,1.51,Premium,F,SI,60.7,58.0,11666,7.41,7.38,4.49
61,0.34,Ideal,D,VS,60.8,57.0,1033,4.52,4.5,2.74
62,0.3,Ideal,D,VS,61.1,56.0,911,4.36,4.32,2.65
63,1.57,Very Good,I,VS,59.7,61.0,10336,7.51,7.62,4.52
64,0.42,Ideal,I,VS,61.5,56.0,771,4.83,4.86,2.98
65,0.7,Good,D,SI,59.9,63.0,2444,5.74,5.81,3.46
66,1.5,Very Good,H,SI,62.9,57.0,8931,7.24,7.28,4.57
67,0.32,Very Good,H,SI,61.8,56.0,482,4.38,4.41,2.71
68,0.42,Premium,F,VS,60.9,59.0,1103,4.85,4.8,2.94
69,0.7,Very Good,I,SI,62.8,59.0,1763,5.63,5.67,3.55
70,1.08,Premium,G,VS,59.4,59.0,6415,6.68,6.75,3.99
71,1.02,Premium,D,SI,62.5,59.0,4907,6.43,6.38,4.0
72,0.51,Ideal,F,VVS,61.7,57.0,2163,5.12,5.15,3.17
73,0.3,Very Good,G,VVS,59.8,62.0,737,4.33,4.36,2.6
74,0.36,Premium,D,SI,61.5,59.0,663,4.52,4.55,2.79
75,0.7,Premium,G,VS,62.2,57.0,2648,5.69,5.66,3.53
76,0.5,Very Good,G,VVS,61.5,56.0,1843,5.11,5.14,3.15
77,0.32,Ideal,D,VS,61.4,57.0,1044,4.43,4.4,2.71
78,2.21,Very Good,G,SI,60.7,62.0,15825,8.42,8.48,5.13
79,0.42,Premium,F,VS,61.9,58.0,945,4.8,4.76,2.96
80,0.63,Ideal,F,VVS,62.3,56.0,2961,5.48,5.5,3.42
81,0.5,Premium,G,VS,62.5,60.0,1746,5.08,5.06,3.17
82,0.31,Ideal,H,SI,62.0,53.9,491,4.35,4.39,2.7
83,0.41,Ideal,F,SI,62.8,57.0,969,4.73,4.69,2.96
84,1.05,Very Good,D,SI,59.3,59.0,5952,6.63,6.69,3.95
85,1.51,Premium,E,SI,60.3,58.0,12336,7.47,7.43,4.49
86,1.01,Good,D,SI,63.6,61.0,3959,6.35,6.33,4.03
87,1.04,Ideal,H,VS,62.2,56.6,6255,6.43,6.49,4.02
88,0.73,Ideal,F,VS,62.9,56.0,3135,5.71,5.77,3.61
89,1.32,Ideal,I,SI,62.0,57.0,7162,6.99,7.04,4.35
90,1.11,Premium,H,VS,62.0,59.0,5395,6.66,6.59,4.11
91,0.93,Ideal,G,SI,60.9,57.0,3521,6.29,6.25,3.82
92,1.02,Ideal,H,SI,60.5,56.0,4243,6.53,6.57,3.96
93,0.72,Ideal,D,VS,62.8,57.0,3179,5.68,5.73,3.58
94,1.98,Very Good,I,VS,62.7,60.0,15083,7.9,7.96,4.98
95,0.35,Good,F,SI,63.6,54.0,748,4.52,4.51,2.87
96,1.5,Very Good,F,SI,63.1,54.0,7560,7.29,7.26,4.59
97,0.39,Very Good,F,VVS,61.7,56.0,965,4.7,4.74,2.91
98,1.08,Ideal,G,SI,61.9,57.0,4544,6.55,6.57,4.06
99,1.07,Very Good,F,VS,62.0,56.0,7513,6.51,6.55,4.05
100,0.71,Very Good,D,VS,64.1,57.0,3332,5.64,5.66,3.62
101,0.39,Premium,E,VS,59.7,59.0,975,4.83,4.79,2.87
102,1.02,Ideal,D,SI,61.7,56.0,7564,6.4,6.49,3.97
103,0.55,Ideal,H,VS,62.5,54.0,1402,5.24,5.29,3.29
104,1.5,Very Good,G,VS,60.2,58.0,13596,7.38,7.41,4.45
105,0.71,Premium,E,VS,59.0,59.0,2711,5.78,5.88,3.44
106,0.5,Ideal,H,VVS,61.6,57.0,1842,5.08,5.14,3.15
107,1.33,Ideal,H,SI,62.7,56.0,7217,7.04,6.99,4.4
108,1.2,Very Good,H,SI,58.8,61.0,5211,6.94,6.98,4.09
109,1.5,Ideal,I,VS,60.0,61.0,9827,7.39,7.42,4.44
110,0.85,Ideal,D,VVS,62.0,56.0,7230,6.05,6.11,3.77
111,0.54,Ideal,G,VVS,60.6,56.0,2090,5.27,5.26,3.19
112,1.21,Premium,E,SI,61.5,58.0,6223,6.86,6.79,4.2
113,1.24,Ideal,G,VVS,61.4,58.0,10395,6.88,6.92,4.24
114,0.42,Ideal,G,IF,62.0,57.0,1251,4.8,4.82,2.98
115,2.74,Very Good,H,SI,63.3,58.0,17184,8.88,8.84,5.61
116,0.81,Ideal,E,SI,60.2,57.0,2938,6.1,6.06,3.66
117,0.7,Premium,E,VS,61.5,59.0,2822,5.73,5.68,3.51
118,0.34,Ideal,G,VVS,61.7,56.0,863,4.5,4.55,2.79
119,0.43,Ideal,G,IF,61.7,57.0,1286,4.83,4.86,2.99
120,0.62,Ideal,F,VVS,61.9,56.0,3499,5.46,5.48,3.38
121,1.02,Premium,G,VS,62.7,61.0,5998,6.39,6.34,3.99
122,0.65,Good,E,VS,57.8,61.2,2406,5.72,5.78,3.32
123,0.54,Ideal,G,VVS,61.8,55.0,2236,5.27,5.24,3.25
124,0.31,Premium,F,VS,61.8,59.0,802,4.33,4.31,2.67
125,0.41,Premium,G,VS,62.1,60.0,961,4.78,4.72,2.95
126,0.31,Ideal,H,VVS,61.5,56.0,625,4.35,4.37,2.68
127,0.34,Good,G,SI,63.9,58.0,507,4.4,4.43,2.82
128,0.51,Premium,F,SI,60.7,58.0,1421,5.14,5.1,3.11
129,0.52,Ideal,E,VS,61.4,54.0,1576,5.2,5.23,3.2
130,1.01,Premium,F,SI,61.7,60.0,4533,6.36,6.42,3.94
131,0.34,Premium,J,VS,61.7,58.0,574,4.47,4.41,2.74
132,0.5,Ideal,G,VVS,60.5,55.0,1935,5.15,5.13,3.11
133,1.27,Ideal,G,VS,61.9,57.0,9489,6.9,6.93,4.28
134,1.14,Ideal,G,SI,61.7,56.0,6741,6.71,6.75,4.15
135,0.33,Premium,G,VVS,62.8,57.0,965,4.47,4.39,2.78
136,0.3,Good,H,VVS,63.1,54.0,638,4.28,4.34,2.72
137,0.7,Ideal,J,SI,61.4,55.0,1767,5.72,5.75,3.52
138,0.25,Very Good,E,VVS,60.1,57.0,526,4.08,4.11,2.46
139,0.39,Very Good,G,VS,60.4,61.0,787,4.67,4.7,2.83
140,0.43,Good,H,VVS,60.0,61.0,1000,4.91,4.93,2.95
141,0.5,Good,D,VS,63.3,54.0,1635,5.04,5.07,3.2
142,0.92,Ideal,H,IF,62.5,55.0,5758,6.25,6.3,3.92
143,1.0,Premium,F,SI,61.1,61.0,4452,6.38,6.35,3.89
144,1.06,Ideal,H,SI,60.9,56.0,4563,6.58,6.63,4.02
145,1.0,Very Good,F,SI,62.9,59.0,4081,6.3,6.39,3.99
146,0.33,Premium,G,VVS,61.9,58.0,965,4.43,4.39,2.73
147,0.7,Ideal,H,VS,61.9,56.0,2710,5.7,5.73,3.54
148,1.0,Very Good,E,SI,61.9,62.0,4864,6.34,6.4,3.94
149,0.73,Ideal,H,VS,62.7,55.0,2793,5.72,5.76,3.6
150,1.18,Premium,G,SI,60.5,60.0,4988,6.88,6.81,4.14
151,0.36,Ideal,D,SI,62.0,56.0,851,4.61,4.55,2.84
152,0.83,Very Good,J,VS,60.5,55.0,2444,6.08,6.11,3.69
153,1.7,Premium,G,VS,60.3,60.0,15941,7.72,7.64,4.63
154,0.27,Premium,E,VS,61.5,58.0,603,4.22,4.17,2.58
155,0.94,Premium,D,SI,60.7,60.0,4817,6.32,6.27,3.82
156,1.0,Premium,E,SI,61.1,58.0,4620,6.44,6.48,3.95
157,1.12,Ideal,G,VS,62.1,55.0,7364,6.64,6.67,4.13
158,0.43,Good,F,VS,63.4,57.0,943,4.76,4.8,3.03
159,1.56,Premium,H,VS,62.2,58.0,10424,7.41,7.44,4.62
160,1.23,Premium,F,VS,62.9,58.0,8486,6.82,6.76,4.27
161,1.34,Ideal,J,VS,62.0,57.0,6010,7.12,7.04,4.39
162,1.01,Very Good,E,SI,62.4,58.0,4355,6.36,6.42,3.99
163,0.32,Very Good,D,SI,60.1,60.0,619,4.38,4.4,2.64
164,0.7,Good,D,SI,58.5,65.0,2310,5.79,5.76,3.38
165,0.32,Premium,F,VS,59.5,60.0,602,4.46,4.48,2.66
166,0.41,Very Good,G,VVS,59.1,60.0,889,4.84,4.87,2.87
167,0.93,Ideal,I,SI,62.5,55.0,3856,6.23,6.29,3.91
168,0.31,Premium,H,IF,60.8,59.0,739,4.36,4.39,2.66
169,0.3,Ideal,D,SI,61.0,56.0,552,4.35,4.37,2.66
170,1.01,Very Good,H,VS,61.0,63.0,4959,6.38,6.41,3.9
171,0.7,Ideal,E,SI,62.1,56.0,2453,5.65,5.68,3.52
172,1.06,Ideal,G,VS,61.3,57.0,8093,6.53,6.56,4.01
173,0.5,Premium,D,VS,61.2,60.0,1752,5.08,5.12,3.12
174,0.71,Premium,F,SI,62.7,57.0,2633,5.68,5.65,3.55
175,2.04,Very Good,J,VS,59.9,59.0,12095,8.25,8.32,4.96
176,0.35,Ideal,D,VS,61.4,56.0,1026,4.55,4.58,2.8
177,0.35,Ideal,E,VVS,62.2,56.0,1044,4.51,4.53,2.81
178,0.74,Very Good,H,SI,62.1,58.0,2222,5.82,5.78,3.6
179,0.31,Very Good,E,SI,63.4,57.0,698,4.33,4.31,2.74
180,1.27,Premium,H,VS,62.1,60.0,7219,6.94,6.88,4.29
181,0.8,Ideal,G,SI,61.3,57.0,2867,5.96,5.91,3.64
182,1.12,Ideal,F,SI,61.8,56.0,5277,6.65,6.68,4.12
183,0.31,Good,I,SI,63.8,55.0,408,4.31,4.34,2.76
184,0.94,Premium,F,SI,59.8,61.0,4748,6.39,6.35,3.81
185,1.11,Ideal,E,IF,61.8,55.0,15464,6.65,6.69,4.12
186,1.51,Very Good,F,SI,63.2,57.0,9417,7.34,7.23,4.6
187,0.3,Premium,I,IF,60.5,59.0,810,4.34,4.32,2.62
188,0.32,Ideal,E,VS,61.4,56.0,900,4.43,4.4,2.71
189,1.5,Ideal,H,SI,62.8,55.0,8614,7.27,7.31,4.58
190,0.35,Ideal,H,VVS,63.0,55.0,906,4.5,4.48,2.83
191,0.73,Ideal,H,VS,62.0,54.0,2583,5.79,5.83,3.6
192,0.41,Ideal,F,VS,61.3,55.0,1007,4.79,4.83,2.95
193,0.32,Premium,F,VS,61.2,59.0,645,4.4,4.42,2.7
194,0.9,Good,G,SI,63.7,62.0,3014,6.07,6.01,3.85
195,1.22,Ideal,F,VS,62.3,57.0,9920,6.79,6.83,4.24
196,0.91,Ideal,E,SI,62.6,57.0,3772,6.13,6.18,3.85
197,1.0,Ideal,H,SI,62.6,56.0,4256,6.38,6.34,3.98
198,0.3,Ideal,D,VS,59.5,56.0,778,4.41,4.37,2.61
199,1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54
200,0.9,Good,F,SI,63.9,55.0,3453,6.15,6.12,3.92
201,1.41,Premium,D,VVS,60.8,57.0,17216,7.28,7.23,4.41
202,0.7,Ideal,I,VVS,61.5,57.0,2620,5.72,5.75,3.52
203,0.7,Ideal,F,VS,61.3,57.0,3008,5.7,5.76,3.51
204,0.7,Very Good,I,VS,61.8,59.0,2200,5.67,5.73,3.52
205,1.07,Premium,D,VS,61.3,59.0,7751,6.61,6.53,4.03
206,0.32,Very Good,G,SI,63.0,56.0,421,4.32,4.35,2.73
207,1.02,Premium,G,IF,61.8,59.0,8643,6.46,6.41,3.98
208,0.31,Premium,E,VVS,61.5,58.0,988,4.37,4.35,2.68
209,0.31,Premium,E,VS,60.5,60.0,544,4.34,4.39,2.64
210,1.01,Premium,G,VS,62.3,59.0,6499,6.38,6.42,3.99
211,0.7,Very Good,H,VS,60.3,63.0,2399,5.77,5.73,3.47
212,0.53,Ideal,D,SI,61.2,57.0,1706,5.24,5.19,3.19
213,1.12,Premium,H,SI,61.0,59.0,4077,6.72,6.66,4.08
214,0.59,Ideal,G,SI,61.8,56.0,1718,5.37,5.39,3.32
215,0.31,Ideal,D,SI,62.6,57.0,732,4.33,4.3,2.7
216,0.9,Ideal,D,SI,62.1,57.0,4523,6.18,6.25,3.86
217,0.54,Premium,D,VVS,61.4,57.5,3194,5.25,5.28,3.23
218,0.76,Ideal,D,SI,62.2,57.0,2682,5.83,5.85,3.63
219,1.54,Premium,F,SI,62.0,56.0,7486,7.51,7.4,4.62
220,1.01,Ideal,H,VS,62.7,57.0,5306,6.41,6.39,4.01
221,0.35,Ideal,I,IF,62.7,55.0,778,4.51,4.55,2.84
222,0.44,Ideal,E,VS,61.5,56.0,1003,4.9,4.92,3.02
223,0.31,Premium,G,SI,60.7,60.0,593,4.36,4.34,2.64
224,0.9,Good,E,VS,64.0,58.0,4203,6.07,6.02,3.87
225,0.59,Ideal,E,SI,61.6,54.0,1248,5.42,5.45,3.35
226,0.9,Good,E,SI,62.1,63.0,3724,6.09,6.12,3.79
227,0.36,Ideal,D,VS,61.1,57.0,928,4.6,4.63,2.82
228,0.71,Ideal,D,SI,61.3,57.0,2610,5.71,5.78,3.52
229,0.31,Ideal,D,VS,60.7,56.0,734,4.35,4.38,2.65
230,2.01,Premium,G,SI,60.1,60.0,17403,8.25,8.18,4.94
231,0.51,Very Good,E,SI,62.5,57.0,1438,5.06,5.09,3.17
232,0.74,Ideal,D,SI,61.8,56.0,3517,5.84,5.88,3.62
233,0.3,Very Good,D,SI,63.3,57.0,574,4.3,4.26,2.71
234,0.41,Ideal,F,VS,61.3,55.0,1076,4.83,4.79,2.95
235,1.21,Premium,H,SI,60.6,56.0,5140,6.92,6.84,4.17
236,1.51,Good,J,SI,64.1,61.0,6394,7.16,7.19,4.6
237,0.52,Ideal,G,VS,62.3,54.0,1629,5.15,5.18,3.22
238,0.25,Premium,F,VVS,60.7,59.0,740,4.1,4.07,2.48
239,0.41,Good,H,SI,63.8,56.0,876,4.74,4.69,3.01
240,2.09,Very Good,F,SI,63.4,55.0,18640,8.18,8.11,5.16
241,1.01,Very Good,E,VVS,63.6,55.0,10993,6.35,6.39,4.05
242,0.3,Ideal,F,VS,61.9,55.0,605,4.31,4.32,2.67
243,0.34,Ideal,D,VS,61.6,55.0,687,4.48,4.54,2.78
244,1.41,Premium,D,SI,61.1,56.0,6988,7.19,7.15,4.38
245,1.12,Ideal,G,VS,61.0,57.0,7634,6.69,6.72,4.09
246,0.62,Ideal,D,VS,61.9,57.0,2508,5.47,5.55,3.41
247,0.71,Ideal,E,SI,61.9,55.0,3360,5.74,5.77,3.56
248,0.9,Good,E,SI,60.8,65.0,3933,6.14,6.17,3.74
249,0.56,Very Good,D,VVS,61.8,55.0,2866,5.27,5.31,3.27
250,1.2,Very Good,G,VS,60.2,60.0,8442,6.91,7.0,4.19
251,0.5,Good,E,SI,63.1,58.0,1077,5.05,5.09,3.2
252,1.71,Very Good,H,SI,59.5,59.0,12791,7.78,7.81,4.64
253,0.21,Premium,E,SI,59.8,61.0,326,3.89,3.84,2.31
254,0.32,Ideal,F,VVS,62.3,55.0,854,4.37,4.4,2.73
255,1.5,Premium,I,VS,58.4,61.0,8820,7.48,7.42,4.35
256,2.11,Premium,I,SI,62.3,56.0,13701,8.23,8.13,5.1
257,0.54,Ideal,F,VS,61.3,57.0,2333,5.29,5.24,3.23
258,0.41,Premium,I,VVS,62.0,56.0,1107,4.77,4.75,2.95
259,0.32,Ideal,H,SI,61.9,54.0,420,4.42,4.46,2.75
260,1.5,Very Good,E,SI,62.0,57.0,11690,7.25,7.33,4.52
261,0.56,Ideal,G,VS,61.8,55.0,1712,5.28,5.37,3.29
262,0.31,Ideal,H,IF,60.0,57.0,1046,4.41,4.39,2.64
263,1.2,Premium,H,SI,62.7,56.0,5746,6.78,6.75,4.24
264,0.33,Ideal,F,VVS,61.9,55.0,955,4.42,4.44,2.74
265,0.73,Ideal,E,SI,62.2,56.0,3038,5.76,5.79,3.59
266,1.0,Very Good,D,SI,63.1,56.0,5645,6.34,6.3,3.99
267,0.56,Ideal,H,VS,60.9,57.0,1388,5.32,5.36,3.25
268,1.0,Ideal,G,VS,62.3,54.0,6272,6.42,6.38,3.99
269,0.81,Very Good,I,VS,62.7,58.0,2950,5.9,5.96,3.72
270,0.3,Premium,F,SI,62.3,58.0,506,4.32,4.28,2.68
271,0.32,Ideal,H,IF,61.4,55.0,814,4.42,4.47,2.73
272,0.9,Good,F,VS,63.8,55.0,4309,6.09,6.13,3.9
273,0.3,Very Good,G,VVS,62.9,55.0,638,4.28,4.31,2.7
274,2.04,Premium,I,SI,62.2,57.0,16942,8.14,8.07,5.04
275,1.52,Very Good,I,VS,62.9,59.9,10032,7.27,7.31,4.59
276,0.41,Very Good,E,SI,63.4,58.0,818,4.75,4.71,3.0
277,0.42,Very Good,G,SI,61.9,55.0,798,4.78,4.88,2.99
278,0.76,Very Good,H,SI,61.4,57.0,2557,5.89,5.94,3.63
279,1.01,Premium,G,VS,61.6,60.0,6108,6.51,6.42,3.98
280,0.3,Ideal,G,IF,61.8,55.0,813,4.33,4.35,2.68
281,0.41,Ideal,F,VVS,61.9,55.0,1192,4.79,4.78,2.96
282,0.72,Very Good,I,VS,64.0,56.0,2048,5.65,5.73,3.65
283,0.3,Ideal,H,VVS,62.8,57.0,776,4.25,4.22,2.66
284,0.71,Ideal,E,SI,62.3,57.0,2190,5.66,5.74,3.55
285,1.01,Premium,F,VS,61.2,59.0,7982,6.48,6.42,3.95
286,0.5,Very Good,E,SI,60.7,61.0,1316,5.09,5.12,3.1
287,0.3,Very Good,H,SI,61.3,61.0,421,4.25,4.27,2.61
288,1.01,Premium,I,SI,61.7,60.0,3818,6.4,6.34,3.93
289,0.34,Very Good,H,VVS,61.4,58.0,686,4.46,4.5,2.75
290,0.7,Very Good,D,VS,63.2,60.0,3033,5.61,5.56,3.53
291,0.31,Premium,I,VVS,62.2,57.0,698,4.37,4.34,2.71
292,1.02,Premium,G,VS,62.1,58.0,6397,6.5,6.44,4.02
293,0.91,Very Good,G,SI,62.0,58.0,3387,6.13,6.2,3.82
294,1.09,Ideal,H,SI,62.4,55.0,4871,6.68,6.59,4.14
295,0.25,Very Good,D,VVS,61.3,59.0,575,4.07,4.12,2.51
296,1.01,Premium,H,VS,61.5,59.0,5400,6.49,6.48,3.99
297,0.56,Ideal,D,SI,61.3,56.0,1243,5.3,5.33,3.26
298,0.41,Ideal,G,IF,62.3,55.0,1367,4.75,4.78,2.97
299,0.23,Ideal,G,IF,61.7,55.0,536,3.94,3.98,2.44
300,0.36,Very Good,H,VVS,61.3,55.0,668,4.58,4.64,2.81
301,2.01,Very Good,J,SI,61.6,60.0,12084,7.99,8.02,4.93
302,0.55,Premium,G,VS,59.4,62.0,1792,5.36,5.32,3.17
303,0.72,Very Good,H,SI,61.5,56.0,2277,5.77,5.8,3.56
304,1.0,Premium,H,VS,61.9,61.0,4536,6.37,6.23,3.9
305,0.32,Ideal,D,SI,62.0,57.0,589,4.37,4.4,2.72
306,0.31,Ideal,E,VS,61.9,55.0,680,4.36,4.39,2.71
307,0.5,Very Good,F,VS,63.0,55.0,1436,5.04,5.09,3.19
308,0.3,Very Good,D,SI,63.3,55.0,709,4.31,4.28,2.72
309,1.01,Premium,F,VS,63.0,58.0,6097,6.43,6.36,4.03
310,0.7,Very Good,F,VVS,60.6,60.0,3536,5.67,5.7,3.45
311,0.5,Premium,G,VS,60.7,62.0,1629,5.1,5.08,3.09
312,0.5,Ideal,H,VS,61.3,56.0,1349,5.12,5.16,3.15
313,1.53,Premium,G,SI,58.5,59.0,6788,7.52,7.49,4.39
314,0.54,Ideal,F,VS,61.3,57.0,1572,5.28,5.25,3.23
315,1.12,Ideal,E,VS,61.3,56.0,8991,6.7,6.72,4.11
316,1.29,Premium,G,VS,61.9,58.0,8530,7.02,6.97,4.33
317,0.71,Good,I,VS,63.6,56.0,2306,5.65,5.7,3.61
318,1.23,Premium,J,VS,62.7,58.0,5412,6.79,6.82,4.27
319,1.3,Ideal,G,VVS,62.0,57.0,11073,6.96,7.03,4.34
320,1.09,Ideal,J,SI,62.7,57.0,4465,6.53,6.59,4.11
